component,target_nutrient,confidence,relationship,priority,rationale
vitamin a,"Vitamin A, RAE",high,synonym,1,"Primary food-equivalent form used in USDA nutrient table."
retinol,"Vitamin A, RAE",high,form,1,"Retinol activity is represented via Vitamin A RAE for food comparisons."
beta carotene,"Carotene, beta",high,form,1,"Direct carotenoid analyte in USDA table."
carotenoid,"Carotene, beta",medium,family,2,"Generic carotenoid label mapped to common measured carotene proxy."
vitamin c,"Vitamin C, total ascorbic acid",high,synonym,1,"Canonical USDA name for vitamin C totals."
ascorbic acid,"Vitamin C, total ascorbic acid",high,form,1,"Ascorbic acid is vitamin C."
l ascorbic acid,"Vitamin C, total ascorbic acid",high,form,1,"L-ascorbic acid is vitamin C active form."
vitamin d,"Vitamin D (D2 + D3)",high,synonym,1,"Most supplements target overall vitamin D activity."
cholecalciferol,"Vitamin D3 (cholecalciferol)",high,form,1,"Direct D3 form."
ergocalciferol,"Vitamin D2 (ergocalciferol)",high,form,1,"Direct D2 form."
vitamin e,"Vitamin E (alpha-tocopherol)",high,synonym,1,"Canonical vitamin E nutrient representation."
alpha tocopherol,"Vitamin E (alpha-tocopherol)",high,form,1,"Primary active vitamin E form in foods."
vitamin k,"Vitamin K (phylloquinone)",medium,family,2,"General vitamin K supplements often align with K1-rich food guidance."
vitamin k1,"Vitamin K (phylloquinone)",high,form,1,"Direct K1 form."
phylloquinone,"Vitamin K (phylloquinone)",high,form,1,"Direct K1 analyte name."
vitamin k2,"Vitamin K (Menaquinone-4)",high,form,1,"Direct K2 MK-4 analyte where available."
menaquinone,"Vitamin K (Menaquinone-4)",medium,family,2,"Generic menaquinone mapped to MK-4 proxy."
mk 4,"Vitamin K (Menaquinone-4)",high,form,1,"Direct MK-4 form."
mk4,"Vitamin K (Menaquinone-4)",high,form,1,"Direct MK-4 form."
mk 7,"Vitamin K (Menaquinone-4)",medium,form_proxy,2,"MK-7 often substituted with MK-4 food proxy due sparse coverage."
mk7,"Vitamin K (Menaquinone-4)",medium,form_proxy,2,"MK-7 often substituted with MK-4 food proxy due sparse coverage."
vitamin b1,Thiamin,high,synonym,1,"Canonical B1 mapping."
thiamin,Thiamin,high,synonym,1,"Canonical spelling in USDA table."
thiamine,Thiamin,high,spelling_variant,1,"Alternate spelling variant."
