component,proxy_nutrient,confidence,rationale
vitamin k1,"Vitamin K (phylloquinone)",high,"Vitamin K1 corresponds to phylloquinone, which is present in whole foods (especially leafy greens)."
vitamin k2,"Vitamin K (Menaquinone-4)",medium,"Vitamin K2 maps to menaquinone-4 first; if USDA coverage is sparse, app falls back to K1-rich whole-food proxy with note."
vitamin k3,"Vitamin K (phylloquinone)",low,"Vitamin K3 (menadione) is synthetic and not a natural whole-food form; showing K1 whole-food proxy instead."
menadione,"Vitamin K (phylloquinone)",low,"Menadione is synthetic vitamin K3; showing K1 whole-food proxy instead."
ashwagandha,"Iron, Fe",medium,"No direct USDA ashwagandha analyte; uses mineral-rich whole-food proxy pathway."
curcumin,"Polyphenols, total",medium,"Curcumin is a polyphenolic compound; USDA does not provide direct curcumin values across foods."
turmeric,"Polyphenols, total",medium,"Turmeric supplements are commonly curcuminoid-focused; mapped to total polyphenols proxy."
garlic extract,"Flavonoids, total",medium,"No direct allicin table across USDA foundation foods; use broader phytochemical proxy."
garlic,"Flavonoids, total",medium,"Whole garlic benefit often linked to sulfur/phytochemical profile; proxy uses flavonoids total."
fish oil,"PUFA 22:6 n-3 (DHA)",high,"Fish-oil goal is omega-3 LC-PUFA intake; proxy targets DHA ranking."
omega 3,"PUFA 22:6 n-3 (DHA)",high,"Generic omega-3 supplement mapped to DHA as primary food-ranking signal."
omega-3,"PUFA 22:6 n-3 (DHA)",high,"Generic omega-3 supplement mapped to DHA as primary food-ranking signal."
dha,"PUFA 22:6 n-3 (DHA)",high,"Direct analyte exists in USDA nutrient table."
epa,"PUFA 20:5 n-3 (EPA)",high,"Direct analyte exists in USDA nutrient table."
coq10,"Total lipid (fat)",low,"USDA foundation does not provide broad CoQ10 analyte; fat-rich foods are weak proxy only."
ubiquinone,"Total lipid (fat)",low,"No direct ubiquinone field in core USDA foundation nutrient table; weak proxy only."
collagen,"Protein",low,"No direct collagen analyte; uses total protein as coarse proxy."
probiotic,"Fiber, total dietary",low,"No strain-specific probiotic analytes; dietary fiber used as prebiotic-support proxy."
